GarageArea,OverallQual,OverallCond,KitchenQual,BsmtExposure,BsmtFinType1,GarageFinish,GrLivArea_log,TotalBsmtSF_log,LotArea_log,SalePrice
294,5,6,2,1.0,3.0,2.0,7.181591944611865,7.181591944611865,9.036106025364846,145000
380,6,7,2,1.0,1.0,2.0,7.360103972989152,6.684611727667927,8.966738978759576,178000
0,5,7,2,1.0,1.0,,6.680854678790215,6.680854678790215,9.080003870248179,85000
240,5,7,3,1.0,5.0,1.0,7.478169694159785,6.595780513961311,8.881975184248867,175000
308,5,6,3,1.0,2.0,1.0,7.433666540166168,6.934397209928558,8.517393171418904,127000
552,5,7,2,1.0,5.0,1.0,6.796823718274855,6.796823718274855,9.19023970026918,149900
400,6,5,3,3.0,1.0,3.0,7.353081920515432,6.529418838262226,9.385301574363845,174000
240,4,8,3,1.0,4.0,1.0,7.051855622955894,6.680854678790215,8.600982717145921,125500
576,6,6,3,1.0,,3.0,7.260522598089852,7.260522598089852,9.400216653174247,175500
474,8,5,3,3.0,1.0,,7.311218384419629,7.311218384419629,9.122492281402987,225000
240,6,5,2,4.0,2.0,1.0,6.81783057145415,6.703188113240863,9.036106025364846,129000
484,5,5,2,3.0,5.0,2.0,6.99117688712121,6.932447891572509,9.503084610020228,159950
478,7,5,2,1.0,5.0,2.0,7.379008127628304,7.148345743900068,9.382695764458287,157000
486,7,6,2,1.0,4.0,1.0,7.594381242551817,6.645090969505644,9.517898598432753,205000
528,7,5,2,1.0,1.0,1.0,7.060476365999801,7.060476365999801,9.169622538697624,140000
390,6,5,3,1.0,1.0,2.0,7.7266536648476425,6.918695219020472,8.995784837848506,200000
450,6,5,3,2.0,,1.0,7.723120092266331,7.501082124259871,9.952325334619427,217000
720,5,7,2,1.0,2.0,2.0,6.716594773520978,6.716594773520978,9.01627006814768,125000
440,6,6,2,1.0,4.0,3.0,7.2633296174768365,6.53813982376767,8.981052985901483,159500
616,6,5,2,1.0,5.0,3.0,7.409741954080923,7.382124365737512,9.426821780416843,184000
200,5,5,2,1.0,1.0,1.0,6.672032945461067,6.645090969505644,9.2681374707024,96500
968,5,5,2,1.0,2.0,,7.876638460975463,7.130098510125578,9.362546304865514,200000
225,5,6,2,1.0,1.0,1.0,7.3632795869630385,6.949856455000773,8.738895704934043,149000
393,6,5,3,1.0,,3.0,7.3031700512368,6.664409020350408,9.233861567017529,178900
555,7,5,3,1.0,,2.0,7.0909098220799835,7.0707241072602764,9.218705288307811,184900
528,7,5,3,1.0,1.0,2.0,7.1316985104669115,6.439350371100098,8.355144739461839,164700
567,7,8,4,3.0,6.0,3.0,7.551186867296149,7.551186867296149,9.770013301136158,335000
400,3,4,2,,,1.0,6.947937068614969,0.0,9.053101595549691,87500
644,7,5,3,1.0,1.0,2.0,7.315218389752975,7.315218389752975,9.163458386076051,233170
271,5,6,3,1.0,1.0,1.0,7.113956109566034,7.113956109566034,9.053101595549691,149350
288,5,7,2,1.0,3.0,1.0,7.1459844677143876,6.725033642166843,9.404672841436273,133000
0,5,6,2,1.0,3.0,,6.762729506931879,6.762729506931879,8.63141433550626,98000
612,6,6,2,1.0,4.0,1.0,7.430707082545968,7.430707082545968,9.234154550075438,207500
490,4,4,2,1.0,4.0,1.0,7.390798521735676,7.156176637480615,9.209540051805414,150000
576,5,5,2,3.0,6.0,1.0,6.755768921984255,6.755768921984255,8.889170455363413,134900
572,7,5,3,1.0,1.0,2.0,7.171656822768514,7.165493475060845,8.881975184248867,187750
505,6,4,2,1.0,,2.0,7.317212408359839,7.317212408359839,9.405989388981,149500
280,4,5,2,1.0,1.0,,6.762729506931879,6.762729506931879,9.143559338285831,116050
528,5,5,2,3.0,6.0,1.0,7.110696122978827,6.99117688712121,8.856376036730422,153337
354,5,5,2,2.0,4.0,,7.232733136177615,7.232733136177615,9.494390858193913,165000
264,5,9,3,1.0,5.0,1.0,6.705639094860003,6.705639094860003,8.79497643168877,130500
784,7,5,2,4.0,6.0,3.0,7.20414929203594,7.20414929203594,8.862341963516347,206300
540,7,5,3,1.0,1.0,1.0,7.239214973779806,6.536691597591305,8.190077049719049,146000
461,5,5,2,1.0,1.0,1.0,6.97166860472579,6.97166860472579,9.09301972939964,126500
552,5,6,2,1.0,1.0,1.0,7.1316985104669115,6.495265555937008,8.587278798982926,139000
0,4,5,2,1.0,1.0,,7.2813856635702825,6.602587892189336,8.402231172946555,113000
0,6,5,2,1.0,1.0,,7.00033446027523,6.35088571671474,9.169622538697624,79000
480,7,5,3,1.0,1.0,3.0,7.264730177929867,7.264730177929867,9.36220272128543,182000
431,6,5,2,1.0,6.0,3.0,7.413970290190444,6.651571873589727,8.987321812850125,188000
720,5,8,3,1.0,5.0,2.0,6.762729506931879,6.762729506931879,8.881975184248867,129000
0,5,8,2,2.0,1.0,,7.564757012905729,6.532334292222349,8.865452825753623,160000
462,6,9,3,1.0,,2.0,7.338238150065589,7.1853870155804165,9.036106025364846,174000
660,7,5,3,3.0,1.0,3.0,7.530479995245536,6.779921907472252,9.550733483340633,219210
812,10,5,4,3.0,6.0,,7.60489448081162,6.925595197110468,9.306014122044465,310000
874,9,5,4,4.0,6.0,3.0,7.491645473605133,7.491645473605133,9.37982994995476,374000
480,5,6,2,1.0,1.0,1.0,6.876264611890766,6.876264611890766,9.050288983827956,100000
619,6,7,3,2.0,4.0,,7.884199933676039,6.961296045910167,9.308374112247549,250000
364,4,9,2,3.0,6.0,1.0,6.8679744089702925,6.47543271670409,9.234740258799718,145000
880,10,9,3,1.0,1.0,1.0,7.9287663216266955,7.121252453244542,9.510519035757246,325000
694,9,5,4,3.0,1.0,3.0,7.880048200971577,7.675081857716334,9.524713059681009,380000
482,8,5,3,4.0,6.0,3.0,7.4067107301776405,7.374629015218945,8.254008590564844,275000
403,6,5,3,1.0,6.0,,7.1693500166706,7.1693500166706,9.32375833901174,180000
776,8,5,3,3.0,1.0,,7.43543801981455,7.43543801981455,9.256842205627603,245350
301,6,8,2,2.0,4.0,2.0,6.8658910748834385,6.8658910748834385,9.455088847042777,151500
300,5,5,2,3.0,4.0,1.0,6.907755278982137,6.8308742346461795,9.230731061623917,134500
0,5,8,2,1.0,1.0,,6.928537818164665,6.660575149839686,8.755107121633896,94000
663,7,5,3,1.0,6.0,2.0,7.423568444259167,6.703188113240863,8.922791623969637,216000
839,8,6,3,4.0,6.0,3.0,7.656337166430183,7.6544432264701125,9.25320827220336,350000
551,6,6,3,1.0,2.0,3.0,7.616283561580385,6.744059186311348,9.396570945266852,195000
288,6,6,2,1.0,,2.0,7.1049654482698426,6.440946540632921,9.283869605264298,120000
647,8,5,3,1.0,,2.0,7.682482446534506,7.158513997329321,9.145908511816794,228500
467,7,6,3,1.0,6.0,3.0,7.523481312573497,6.881411303642535,10.307618437631156,248000
336,5,5,2,1.0,4.0,1.0,7.0431599159883405,7.0431599159883405,9.127502093667179,124000
437,7,5,3,1.0,6.0,3.0,7.316548177182976,7.205635176410364,8.065579427282092,191000
484,6,6,3,1.0,5.0,2.0,7.177782416195197,6.947937068614969,9.224341891611996,181000
280,6,5,2,2.0,3.0,1.0,7.138073034044347,6.329720905522696,9.11173476822206,105000
286,5,5,2,1.0,1.0,2.0,7.260522598089852,6.88653164253051,9.42084437974393,139900
301,6,6,2,1.0,3.0,2.0,7.274479558773871,7.274479558773871,9.18512512283512,157900
240,5,6,2,1.0,4.0,1.0,7.0909098220799835,6.645090969505644,9.373139262281274,130500
460,6,5,2,1.0,1.0,2.0,7.417580402414544,6.860663671448287,9.002331708246244,172400
572,5,5,2,1.0,5.0,1.0,7.215975002651466,5.953243334287785,8.872767529910936,130000
403,8,5,3,3.0,1.0,3.0,7.254884810077338,6.56244409369372,9.111293218374948,178000
457,6,5,2,1.0,3.0,1.0,7.202661196523238,7.224753405767971,9.189218875354072,161500
410,5,7,2,2.0,3.0,1.0,7.020190708311925,6.677083461247136,8.962007209588313,119900
360,6,8,2,1.0,3.0,1.0,7.76046702921342,6.859614903654202,9.714805812589491,239000
546,6,6,2,1.0,4.0,2.0,7.520234556474628,7.520234556474628,9.371778717853713,190000
264,6,5,2,1.0,5.0,1.0,6.895682697747868,6.182084906716632,7.427144133408616,85400
480,6,7,3,2.0,5.0,2.0,7.384610383176974,7.384610383176974,9.268986567408916,205000
484,6,5,2,1.0,5.0,1.0,6.985641817639208,6.98933526597456,9.125653563808989,134000
1356,4,4,2,3.0,4.0,3.0,7.392031567514591,7.1308988302963465,10.387887062065596,168000
413,6,5,2,3.0,6.0,3.0,7.321188556739478,6.688354713946762,9.324383088016843,185000
484,5,7,2,3.0,6.0,2.0,7.050122520269059,7.050122520269059,9.554851637414007,180500
282,5,5,2,1.0,4.0,1.0,7.351799869057777,6.814542897259958,9.525953709356655,152000
471,8,5,3,1.0,,2.0,7.555905093611346,6.656726524178391,9.164819856674374,215000
756,5,7,2,2.0,4.0,1.0,7.175489713624222,6.900730664045173,9.072571442231286,153000
360,5,5,2,1.0,1.0,1.0,7.668093709082406,6.745236349484363,8.999742789830492,106000
610,8,5,3,1.0,1.0,2.0,7.810758116529357,7.365812837209472,9.318656515459642,340000
